2024-08-09,671,Breaking - B-Girls,95,3
2024-08-11,A'ja WILSON,Basketball - Women,76,1
2024-08-11,A. SKINNER,Volleyball - Women,299,2
2024-08-10,Aaliyah BUTLER,Athletics - Women's 4 x 400m Relay,67,1
2024-08-09,Aaron BROWN,Athletics - Men's 4 x 100m Relay,43,1
2024-08-04,Aaron CHIA,Badminton - Men's Doubles,72,3
2024-07-27,Aaron GRANDIDIER NKANANG,Rugby Sevens - Men,203,1
2024-08-09,Aaron Marquel BROOKS,Wrestling - Men's Freestyle 86kg,327,3
2024-07-27,Abbey WEITZEIL,Swimming - Women's 4 x 100m Freestyle Relay,254,2
2024-08-03,Abbey WEITZEIL,Swimming - Mixed 4 x 100m Medley Relay,274,1
2024-08-10,Abby ANDREWS,Water Polo - Women,301,2
2024-08-03,Abby DENT,Rowing - Women's Eight,201,2
2024-08-08,Abde EZZALZOULI,Football - Men,160,3
2024-07-29,Abdullah YILDIRMIS,Archery - Men's Team,3,3
2024-08-10,Abdumalik KHALOKOV,Boxing - Men's 57kg,82,1
2024-08-03,ABE Hifumi,Judo - Mixed Team,182,2
2024-07-28,ABE Hifumi,Judo - Men -66 kg,176,1
2024-08-03,ABE Uta,Judo - Mixed Team,182,2
2024-08-09,Abel RUIZ,Football - Men,160,1
2024-08-11,Abel SERDIO,Handball - Men,164,3
2024-08-08,Abhishek ABHISHEK,Hockey - Men,166,3
2024-08-07,Abraham KIBIWOT,Athletics - Men's 3000m Steeplechase,30,3
2024-08-08,Achraf HAKIMI,Football - Men,160,3
2024-07-29,Adam BURGESS,Canoe Slalom - Men's Canoe Single,98,2
2024-07-28,Adam PEATY,Swimming - Men's 100m Breaststroke,265,2
2024-08-10,Adam VARGA,Canoe Sprint - Men's Kayak Single 1000m,102,2
2024-08-10,Adar FRIEDMANN,Rhythmic Gymnastics - Group All-Around,188,2
2024-07-29,Adil OSMANOV,Judo - Men -73 kg,177,3
2024-08-08,Adil TAHIF,Football - Men,160,3
2024-08-09,Adrian BERNABE,Football - Men,160,1
2024-08-11,Adrian FIGUERAS,Handball - Men,164,3
2024-08-11,Adrian WEINBERG,Water Polo - Men,300,3
2024-08-10,ADRIANA,Football - Women,161,2
2024-08-03,Adriana ADAM,Rowing - Women's Eight,201,1
2024-07-31,Adriana RUANO OLIVA,Shooting - Trap Women,225,1
2024-08-09,Adrien TRUFFERT,Football - Men,160,2
2024-08-10,Agnese DURANTI,Rhythmic Gymnastics - Group All-Around,188,3
2024-08-09,Agostina ALONSO,Hockey - Women,167,3
2024-08-11,Agustin CASADO,Handball - Men,164,3
2024-08-09,Agustina ALBERTARRIO,Hockey - Women,167,3
2024-08-09,Agustina GORZELANY,Hockey - Women,167,3
2024-08-10,Ahmed ELGENDY,Modern Pentathlon - Men's Individual,186,1
2024-08-09,Aimar OROZ,Football - Men,160,1
2024-08-06,Aira VILLEGAS,Boxing - Women's 50kg,88,3
2024-08-10,Aisuluu TYNYBEKOVA,Wrestling - Women's Freestyle 62kg,321,3
